,Genus_Organism,Current_name_reviewed_AA,strain,ITS,TEF,TUB,rpb2,MAT1,MAT2,Genus_Host,Species_Host,Country,Title
9298,Macrophomina,Macrophomina phaseolina,MPKS307,FJ395243,NA,NA,NA,NA,NA,Lespedeza,Lespedeza capitata,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9299,Macrophomina,Macrophomina phaseolina,MPKS315,FJ395245,NA,NA,NA,NA,NA,Solidago,Solidago sp.,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9300,Macrophomina,Macrophomina phaseolina,MPKS323,FJ395246,NA,NA,NA,NA,NA,Solidago,Solidago sp.,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9301,Macrophomina,Macrophomina phaseolina,MPKS205,FJ395237,NA,NA,NA,NA,NA,Sorghum,Sorghum sp.,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9302,Macrophomina,Macrophomina phaseolina,MPKA230,FJ395238,NA,NA,NA,NA,NA,Sorghum,Sorghum sp.,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9303,Macrophomina,Macrophomina phaseolina,MPKS240,FJ395239,NA,NA,NA,NA,NA,Sorghum,Sorghum sp.,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9304,Macrophomina,Macrophomina phaseolina,MPKS048,FJ395226,NA,NA,NA,NA,NA,Zea,Zea sp.,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9305,Macrophomina,Macrophomina phaseolina,MPKS067,FJ395227,NA,NA,NA,NA,NA,Zea,Zea sp.,United States of America,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean and sorghum"
9306,Macrophomina,Macrophomina phaseolina,MAC44,GU046813,NA,NA,NA,NA,NA,Helianthus,Helianthus annuus,Italy,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9307,Macrophomina,Macrophomina phaseolina,MAC54,GU046815,NA,NA,NA,NA,NA,Helianthus,Helianthus annuus,Italy,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9308,Macrophomina,Macrophomina phaseolina,RB37,HQ392790,NA,NA,NA,NA,NA,Cicer,Cicer arietinum,India,Molecular diversity of R. bataticola of chickpea from India
9309,Macrophomina,Macrophomina phaseolina,RB58,HQ392803,NA,NA,NA,NA,NA,Cicer,Cicer arietinum,India,Molecular diversity of R. bataticola of chickpea from India
9310,Macrophomina,Macrophomina phaseolina,RB72,HQ392811,NA,NA,NA,NA,NA,Cicer,Cicer arietinum,India,Molecular diversity of R. bataticola of chickpea from India
9311,Macrophomina,Macrophomina phaseolina,MP84,GU046894,NA,NA,NA,NA,NA,Cucurbita,Cucurbita sp.,United States of America,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9312,Macrophomina,Macrophomina phaseolina,PM19,KJ744350,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Germany,Development of a microarray for the detection of sugar beet root rot pathogens
9313,Macrophomina,Macrophomina phaseolina,2009_045,KJ744377,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Germany,Development of a microarray for the detection of sugar beet root rot pathogens
9314,Macrophomina,Macrophomina phaseolina,RB86,HQ392819,NA,NA,NA,NA,NA,Cicer,Cicer arietinum,India,Molecular diversity of R. bataticola of chickpea from India
9315,Macrophomina,Macrophomina phaseolina,CMM3615,KF234547,KF226693,KF254930,NA,NA,NA,Jatropha,Jatropha curcas,Brazil,"Phylogeny, identification and pathogenicity of the Botryosphaeriaceae associated with collar and root rot of the biofuel plant Jatropha curcas in Brazil, with a description of new species of Lasiodiplodia"
9316,Macrophomina,Macrophomina phaseolina,MP105,GU046899,NA,NA,NA,NA,NA,Glycine,Glycine max,United States of America,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9317,Macrophomina,Macrophomina phaseolina,MP123,GU046909,NA,NA,NA,NA,NA,Myoporum,Myoporum sp.,United States of America,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9318,Macrophomina,Macrophomina phaseolina,MP112,GU046903,NA,NA,NA,NA,NA,Zea,Zea sp.,United States of America,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9319,Macrophomina,Macrophomina phaseolina,KARE243,MN166020,MN318093,MN318121,NA,NA,NA,Prunus,Prunus dulcis,United States of America,A Re-examination of the Etiology of Almond Trunk and Scaffold Canker Diseases in California
9320,Macrophomina,Macrophomina phaseolina,MFS1,MH845399,NA,NA,NA,NA,NA,Fragaria,Fragaria sp.,Pakistan,First Report of Macrophomina phaseolina Causing Crown and Root Rot on Strawberry in Pakistan
9321,Macrophomina,Macrophomina phaseolina,MFS,MH845400,NA,NA,NA,NA,NA,Fragaria,Fragaria sp.,Pakistan,First Report of Macrophomina phaseolina Causing Crown and Root Rot on Strawberry in Pakistan
9322,Macrophomina,Macrophomina phaseolina,MP111,GU046902,NA,NA,NA,NA,NA,Glycine,Glycine max,United States of America,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9323,Macrophomina,Macrophomina phaseolina,CPC13084,KF951698,KF952070,NA,NA,NA,NA,Phaseolus,Phaseolus vulgaris,Mexico,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9324,Macrophomina,Macrophomina phaseolina,MP219,GU046910,NA,NA,NA,NA,NA,Sesamum,Sesamum sp.,United States of America,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9325,Macrophomina,Macrophomina phaseolina,CPC21517,KF951778,KF952140,NA,NA,NA,NA,Vigna,Vigna unguiculata,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9326,Macrophomina,Macrophomina phaseolina,MP103,GU046898,NA,NA,NA,NA,NA,Zea,Zea sp.,United States of America,Spatial and temporal genetic variabity of Macrophomina phaeseolina populations from mid latitudes
9327,Macrophomina,Macrophomina phaseolina,Rhizo,KM488564,NA,NA,NA,NA,NA,NA,NA,NA,Isolation of saprophytic fungus from extensive culture
9328,Macrophomina,Macrophomina phaseolina,AEH4598740,MG764507,NA,NA,NA,NA,NA,NA,NA,NA,Emerging fungal patahogens in ocular infections
9329,Macrophomina,Macrophomina phaseolina,MpOc01,KT768128,NA,NA,NA,NA,NA,NA,NA,India,Molecular characterization of Macrophomina phaseolina associated tubercle rot of broomrape
9330,Macrophomina,Macrophomina phaseolina,MpOc02,KT768129,NA,NA,NA,NA,NA,NA,NA,India,Molecular Characterization of Macrophomina phaseolina associated with tubercle rot of broomrape
9331,Macrophomina,Macrophomina phaseolina,MpOc03,KT768130,NA,NA,NA,NA,NA,NA,NA,India,Molecular characterization of Macrophomina phaseolina associated with tubercle rot of broomrape
9332,Macrophomina,Macrophomina phaseolina,Oe3,KU863545,NA,NA,NA,NA,NA,Olea,Olea europaea,Tunisia,"Investigation of soil-borne fungi, causal agents of olive trees wilt and die-back in Tunisia"
9333,Macrophomina,Macrophomina phaseolina,MPK_01,MT186826,NA,NA,NA,NA,NA,Mentha,Mentha arvensis,India,charcoal rot disease caused by Macrophomina phaseolina on Mentha arvensis cultivation in Indo-Gangetic Plain
9334,Macrophomina,Macrophomina phaseolina,BMP16,MK757624,MN078940,MN078924,NA,NA,NA,Cicer,Cicer arietinum,India,NA
9335,Macrophomina,Macrophomina phaseolina,Ezh_1,KC822431,NA,NA,NA,NA,NA,Fragaria,Fragaria x ananassa,China,Direct Submission
9336,Macrophomina,Macrophomina phaseolina,RB_2,KX270353,NA,NA,NA,NA,NA,Gossypium,Gossypium hirsutum,India,Direct Submission
9337,Macrophomina,Macrophomina phaseolina,RB_4,KX270355,NA,NA,NA,NA,NA,Gossypium,Gossypium hirsutum,India,Direct Submission
9338,Macrophomina,Macrophomina phaseolina,RB_5,KX270356,NA,NA,NA,NA,NA,Gossypium,Gossypium hirsutum,India,Direct Submission
9339,Macrophomina,Macrophomina phaseolina,CK_7,JX945170,NA,NA,NA,NA,NA,Ipomoea,Ipomoea sp.,United States of America,Infection of Sweetpotato by Fusarium solani and Macrophomina phaseolina Prior to Harvest
9340,Macrophomina,Macrophomina phaseolina,RBC,FJ792819,NA,NA,NA,NA,NA,NA,NA,NA,Direct Submission
9341,Macrophomina,Macrophomina phaseolina,MP2,FJ960441,NA,NA,NA,NA,NA,NA,NA,NA,Identification of Pathogen Causing Soybean Charcoal Rot
9342,Macrophomina,Macrophomina phaseolina,CPMM,KT261801,KT261797,NA,NA,NA,NA,Opuntia,Opuntia ficus-indica,Italy,Fungi causing rot of cactus pear fruit in southern Italy
9343,Macrophomina,Macrophomina phaseolina,39R(3),KP784426,NA,NA,NA,NA,NA,Stevia,Stevia rebaudiana,Colombia,identification of microorganisms associated with the cultivation of Stevia rebaudiana
9344,Macrophomina,Macrophomina phaseolina,NKL,MT180073,NA,NA,NA,NA,NA,Zea,Zea sp.,India,Macrophomina phaseolina (MPNKL)
9345,Macrophomina,Macrophomina phaseolina,Ver1,KJ577740,NA,NA,NA,NA,NA,Saccharum,Saccharum officinarum,Mexico,Direct Submission
9346,Macrophomina,Macrophomina phaseolina,Ver2,KJ577741,NA,NA,NA,NA,NA,Saccharum,Saccharum officinarum,Mexico,Direct Submission
9347,Macrophomina,Macrophomina phaseolina,W_INSO2_3_17,MK595137,NA,NA,NA,NA,NA,Glycine,Glycine max,United States of America,Ecology and Diversity of Fungal Communities Associated with Soybean Seedling Diseases in the US Midwest
9348,Macrophomina,Macrophomina phaseolina,AMURB1,MK765032,NA,NA,NA,NA,NA,Vigna,Vigna radiata,NA,Direct Submission
9349,Macrophomina,Macrophomina phaseolina,SBL3,KJ567077,NA,NA,NA,NA,NA,Glycine,Glycine max,India,Soybean seed borne fungi
9350,Macrophomina,Macrophomina phaseolina,I12,MK571619,NA,NA,NA,NA,NA,NA,NA,NA,Direct Submission
9351,Macrophomina,Macrophomina phaseolina,seq10_i_1p,FJ643530,NA,NA,NA,NA,NA,NA,NA,Mexico,"Phytopathogen fungi of beans in Durango, Mexico"
9352,Macrophomina,Macrophomina phaseolina,KB_5,DQ359741,NA,NA,NA,NA,NA,NA,NA,NA,Molecular Characterization of Macrophomina phaseolina
9353,Macrophomina,Macrophomina phaseolina,102ma,HQ625640,NA,NA,NA,NA,NA,Phaseolus,Phaseolus vulgaris,Nicaragua,Molecular identification of seed-borne fungi affecting bean seeds (Phaseolus vulgaris L. cv. INTA Rojo) in Nicaragua
9354,Macrophomina,Macrophomina phaseolina,ARM486,MK488045,MK511895,NA,NA,NA,NA,Ipomoea,Ipomoea batatas,Brazil,"Taxonomy, phylogeny and pathogenicity of Botryosphaeriaceae species associated with root rot and stem rot sweet potato (Ipomoea batatas) in Brazil"
9355,Macrophomina,Macrophomina phaseolina,7F10,KU161136,NA,NA,NA,NA,NA,Solanum,Solanum sp.,NA,Causal agents for atypical potato tuber blemishes in South Africa and Zimbabwe
9356,Macrophomina,Macrophomina phaseolina,K349_,MK418768,NA,NA,NA,NA,NA,NA,NA,Serbia,Direct Submission
9357,Macrophomina,Macrophomina phaseolina,SQU14035,KY684279,NA,MH000343,NA,NA,NA,NA,NA,Oman,Characterization of fungal pathogens associated with root diseases of beans and cowpea in Oman
9358,Macrophomina,Macrophomina phaseolina,7F13,KU161139,NA,NA,NA,NA,NA,Solanum,Solanum sp.,NA,Causal agents for atypical potato tuber blemishes in South Africa and Zimbabwe
9359,Macrophomina,Macrophomina phaseolina,CDA1087,KU058927,KU058897,NA,NA,NA,NA,Helianthus,Helianthus annuus,Brazil,Taxonomy and phylogeny of Macrophomina species associated with oil crops in Brazil
9360,Macrophomina,Macrophomina phaseolina,OSR2,KY984006,NA,NA,NA,NA,NA,Ocimum,Ocimum tenuiflorum,India,Endophytic Study of Ocimum
9361,Macrophomina,Macrophomina phaseolina,CDA1093,KU058933,KU058903,NA,NA,NA,NA,Ricinus,Ricinus communis,Brazil,Taxonomy and phylogeny of Macrophomina species associated with oil crops in Brazil
9362,Macrophomina,Macrophomina phaseolina,CDA1094,KU058934,KU058904,NA,NA,NA,NA,Ricinus,Ricinus communis,Brazil,Taxonomy and phylogeny of Macrophomina species associated with oil crops in Brazil
9363,Macrophomina,Macrophomina phaseolina,CDA1098,KU058938,KU058908,NA,NA,NA,NA,Ricinus,Ricinus communis,Brazil,Taxonomy and phylogeny of Macrophomina species associated with oil crops in Brazil
9364,Macrophomina,Macrophomina phaseolina,CDA1100,KU058940,KU058910,NA,NA,NA,NA,Ricinus,Ricinus communis,Brazil,Taxonomy and phylogeny of Macrophomina species associated with oil crops in Brazil
9365,Macrophomina,Macrophomina phaseolina,CDA1107,KU058947,KU058917,NA,NA,NA,NA,Ricinus,Ricinus communis,Brazil,Taxonomy and phylogeny of Macrophomina species associated with oil crops in Brazil
9366,Macrophomina,Macrophomina phaseolina,CDA1086,KU058926,KU058896,NA,NA,NA,NA,Sesamum,Sesamum indicum,Brazil,Taxonomy and phylogeny of Macrophomina species associated with oil crops in Brazil
9367,Macrophomina,Macrophomina phaseolina,seq7_3p,FJ643529,NA,NA,NA,NA,NA,NA,NA,Mexico,"Phytopathogen fungi of beans in Durango, Mexico"
9368,Macrophomina,Macrophomina phaseolina,W_INSO2_2_24,MK595125,NA,NA,NA,NA,NA,Glycine,Glycine max,United States of America,Ecology and Diversity of Fungal Communities Associated with Soybean Seedling Diseases in the US Midwest
9369,Macrophomina,Macrophomina phaseolina,U20,MN640984,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9370,Macrophomina,Macrophomina phaseolina,IS12,MN640992,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9371,Macrophomina,Macrophomina phaseolina,44ma,HQ625641,NA,NA,NA,NA,NA,Phaseolus,Phaseolus vulgaris,Nicaragua,Molecular identification of seed-borne fungi affecting bean seeds (Phaseolus vulgaris L. cv. INTA Rojo) in Nicaragua
9372,Macrophomina,Macrophomina phaseolina,K27,MN640988,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9373,Macrophomina,Macrophomina phaseolina,11F20,KU721993,NA,NA,NA,NA,NA,Solanum,Solanum sp.,NA,Causal agents for atypical potato tuber blemishes in South Africa and Zimbabwe
9374,Macrophomina,Macrophomina phaseolina,KA1S4_40,MG214584,NA,NA,NA,NA,NA,Solanum,Solanum nigrum,Kenya,Antagonistic activity of endophytic fungi isolated from roots of four solanaceous plant species against Phytophthora infestans
9375,Macrophomina,Macrophomina phaseolina,ARM475,MK488040,MK511888,NA,NA,NA,NA,Ipomoea,Ipomoea batatas,Brazil,"Taxonomy, phylogeny and pathogenicity of Botryosphaeriaceae species associated with root rot and stem rot sweet potato (Ipomoea batatas) in Brazil"
9376,Macrophomina,Macrophomina phaseolina,IS5,MN640991,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9377,Macrophomina,Macrophomina phaseolina,495_09,MT039654,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9378,Macrophomina,Macrophomina phaseolina,D33,MN640977,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9379,Macrophomina,Macrophomina phaseolina,U22,MN640985,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9380,Macrophomina,Macrophomina phaseolina,553_09,MT039657,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9381,Macrophomina,Macrophomina phaseolina,UOC/PTS/RDWW_16,KT150272,NA,NA,NA,NA,NA,Calamus,Calamus thwaitesii,Sri Lanka,"Isolation, identification and antimicrobial activities of endophytic fungi from the plant Calamus thwaitesii (Arecaceae), Sri Lanka"
9382,Macrophomina,Macrophomina phaseolina,W_MISO2_3_6,MK595323,NA,NA,NA,NA,NA,Glycine,Glycine max,United States of America,Ecology and Diversity of Fungal Communities Associated with Soybean Seedling Diseases in the US Midwest
9383,Macrophomina,Macrophomina phaseolina,URM8039,MK488039,MK511887,NA,NA,NA,NA,Ipomoea,Ipomoea batatas,Brazil,"Taxonomy, phylogeny and pathogenicity of botryosphaeriaceae species associated with root rot and sterm rot in sweet potato (Ipomoea batatas) in Brazil"
9384,Macrophomina,Macrophomina phaseolina,AkSus1_,MH593869,NA,NA,NA,NA,NA,NA,NA,Turkey,Root rot pathogens on globe artichoke and sesame
9385,Macrophomina,Macrophomina phaseolina,KARE1035,MN097196,MN106051,MN106081,NA,NA,NA,Pistacia,Pistacia vera,United States of America,Macrophomina Crown and Root Rot of Pistachio in California
9386,Macrophomina,Macrophomina phaseolina,KARE1042,MN097197,MN106052,MN106082,NA,NA,NA,Pistacia,Pistacia vera,United States of America,Macrophomina Crown and Root Rot of Pistachio in California
9387,Macrophomina,Macrophomina phaseolina,KARE1044,MN097198,MN106053,MN106083,NA,NA,NA,Pistacia,Pistacia vera,United States of America,Macrophomina Crown and Root Rot of Pistachio in California
9388,Macrophomina,Macrophomina phaseolina,KARE1339,MN097202,MN106057,MN106087,NA,NA,NA,Pistacia,Pistacia vera,United States of America,Macrophomina Crown and Root Rot of Pistachio in California
9389,Macrophomina,Macrophomina phaseolina,KARE1411,MN097213,MN106068,MN106098,NA,NA,NA,Pistacia,Pistacia vera,United States of America,Macrophomina Crown and Root Rot of Pistachio in California
9390,Macrophomina,Macrophomina phaseolina,IS38,MN640995,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9391,Macrophomina,Macrophomina phaseolina,FMS3230811,KC172071,NA,NA,NA,NA,NA,NA,NA,NA,Isolation and Diversity of endophytic fungi from Atractylodes lartoea
9392,Macrophomina,Macrophomina phaseolina,80_13,MT039670,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9393,Macrophomina,Macrophomina phaseolina,W_INSO2_6_5,MK595188,NA,NA,NA,NA,NA,Glycine,Glycine max,United States of America,Ecology and Diversity of Fungal Communities Associated with Soybean Seedling Diseases in the US Midwest
9394,Macrophomina,Macrophomina phaseolina,K382_,MK418773,NA,NA,NA,NA,NA,NA,NA,Serbia,Direct Submission
9395,Macrophomina,Macrophomina phaseolina,YIMPH30296,KP276635,NA,NA,NA,NA,NA,Panax,Panax notoginseng,NA,The fungi isolated from the root of Panax notoginseng subjected to root rot disease
9396,Macrophomina,Macrophomina phaseolina,U5,MN640978,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9397,Macrophomina,Macrophomina phaseolina,W_ILSO2_2_21,MK595003,NA,NA,NA,NA,NA,Glycine,Glycine max,United States of America,Ecology and Diversity of Fungal Communities Associated with Soybean Seedling Diseases in the US Midwest
9398,Macrophomina,Macrophomina phaseolina,U8,MN640979,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9399,Macrophomina,Macrophomina phaseolina,U17,MN640981,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9400,Macrophomina,Macrophomina phaseolina,CCTU1689,KY680344,MG600247,NA,NA,NA,NA,NA,NA,NA,Macrophomina phaseolina associated with grapevine decline in Iran
9401,Macrophomina,Macrophomina phaseolina,AkSus2_,MH593870,NA,NA,NA,NA,NA,NA,NA,Turkey,Root rot pathogens on globe artichoke and sesame
9402,Macrophomina,Macrophomina phaseolina,Mphku,MT039663,NA,NA,NA,NA,NA,Zea,Zea sp.,Serbia,Direct Submission
9403,Macrophomina,Macrophomina phaseolina,U18,MN640982,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9404,Macrophomina,Macrophomina phaseolina,MpPy01,KX620952,NA,NA,NA,NA,NA,Glycine,Glycine max,Paraguay,"Molecular identification and antagonism of Trichoderma native strains against Macrophomina phaseolina, causing charcoal rot of soybean"
9405,Macrophomina,Macrophomina phaseolina,IS2,MN640990,NA,NA,NA,NA,NA,Cicer,Cicer sp.,Turkey,Direct Submission
9406,Macrophomina,Macrophomina phaseolina,CPC13085,KF951699,KF952071,NA,NA,NA,NA,Phaseolus,Phaseolus vulgaris,Mexico,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9407,Macrophomina,Macrophomina phaseolina,34_12,MT039649,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9408,Macrophomina,Macrophomina phaseolina,392_09,MT039653,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9409,Macrophomina,Macrophomina phaseolina,97_12,MT039662,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9410,Macrophomina,Macrophomina phaseolina,HB55,MT127400,NA,NA,NA,NA,NA,NA,NA,NA,Molecular characterization of charcoal rot pathogen
9411,Macrophomina,Macrophomina phaseolina,9Y_G4a,MT131331,NA,NA,NA,NA,NA,NA,NA,NA,Direct Submission
9412,Macrophomina,Macrophomina phaseolina,MUCC531,EF585505,EF585560,NA,NA,NA,NA,Sesbania,Sesbania formosa,Australia,Seven new species of the Botryosphaeriaceae from baobab and other native trees in Western Australia
9413,Macrophomina,Macrophomina phaseolina,MUCC532,EF585506,EF585561,NA,NA,NA,NA,Sesbania,Sesbania formosa,Australia,Seven new species of the Botryosphaeriaceae from baobab and other native trees in Western Australia
9414,Macrophomina,Macrophomina phaseolina,CPC21461,KF951747,KF952117,NA,NA,NA,NA,Arachis,Arachis hypogaea,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9415,Macrophomina,Macrophomina phaseolina,454_09,MT039655,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9416,Macrophomina,Macrophomina phaseolina,84_13,MT039671,NA,NA,NA,NA,NA,Beta,Beta vulgaris,Serbia,Direct Submission
9417,Macrophomina,Macrophomina phaseolina,CPC11073,KF951662,KF952033,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9418,Macrophomina,Macrophomina phaseolina,CPC11074,KF951663,KF952034,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9419,Macrophomina,Macrophomina phaseolina,CPC11076,KF951665,KF952035,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9420,Macrophomina,Macrophomina phaseolina,CPC11082,KF951669,KF952039,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9421,Macrophomina,Macrophomina phaseolina,CPC11086,KF951671,KF952042,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9422,Macrophomina,Macrophomina phaseolina,CPC11088,KF951672,KF952043,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9423,Macrophomina,Macrophomina phaseolina,CPC11089,KF951673,KF952044,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9424,Macrophomina,Macrophomina phaseolina,CPC11090,KF951674,KF952045,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9425,Macrophomina,Macrophomina phaseolina,CPC11101,KF951683,KF952053,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9426,Macrophomina,Macrophomina phaseolina,CPC11112,KF951691,KF952063,NA,NA,NA,NA,NA,NA,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9427,Macrophomina,Macrophomina phaseolina,CPC11075,KF951664,NA,NA,NA,NA,NA,NA,NA,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9428,Macrophomina,Macrophomina phaseolina,R5,KX169239,NA,NA,NA,NA,NA,NA,NA,NA,Isolation and identification of root endophytes of corn in mono/inter-cropping systems with soybean
9429,Macrophomina,Macrophomina phaseolina,CPC11052,KF951641,KF952014,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9430,Macrophomina,Macrophomina phaseolina,CPC11054,KF951643,KF952016,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9431,Macrophomina,Macrophomina phaseolina,CPC11055,KF951644,KF952017,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9432,Macrophomina,Macrophomina phaseolina,CPC11056,KF951645,KF952018,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9433,Macrophomina,Macrophomina phaseolina,CPC11057,KF951646,KF952019,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9434,Macrophomina,Macrophomina phaseolina,CPC11058,KF951647,KF952020,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9435,Macrophomina,Macrophomina phaseolina,CPC11059,KF951648,KF952021,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9436,Macrophomina,Macrophomina phaseolina,CPC11060,KF951649,KF952022,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9437,Macrophomina,Macrophomina phaseolina,CPC11061,KF951650,KF952023,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9438,Macrophomina,Macrophomina phaseolina,CPC11063,KF951652,KF952024,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9439,Macrophomina,Macrophomina phaseolina,CPC11066,KF951655,KF952026,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9440,Macrophomina,Macrophomina phaseolina,CPC11067,KF951656,KF952027,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9441,Macrophomina,Macrophomina phaseolina,CPC11068,KF951657,KF952028,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9442,Macrophomina,Macrophomina phaseolina,CPC11069,KF951658,KF952029,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9443,Macrophomina,Macrophomina phaseolina,CPC11070,KF951659,KF952030,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9444,Macrophomina,Macrophomina phaseolina,CPC11071,KF951660,KF952031,NA,NA,NA,NA,Vigna,Vigna unguiculata,Niger,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
9445,Macrophomina,Macrophomina phaseolina,CPC21532,KF951783,KF952145,KF952225,NA,NA,NA,Vigna,Vigna unguiculata,Senegal,"Genetic diversity in Macrophomina phaseolina, the causal agent of charcoal rot"
